"latitude","longitude","depth","mag"
35.764,-117.5801667,6.51,1.07
36.0811667,-117.8843333,4.68,-0.18
38.8143349,-122.8099976,1.28,0.32
35.6766667,-117.5093333,8.77,0.94
35.6993333,-117.5595,2.12,0.61
38.8058319,-122.7819977,1.76,0.55
36.0988333,-117.8586667,4.18,0.66
35.6613333,-117.4913333,6.85,0
38.8018341,-122.7720032,1.65,1.05
35.94,-117.4826667,0.14,1.96
38.9501667,-122.6461667,1.87,1
38.9518333,-122.6361667,1.1,0.92
38.9523333,-122.6426667,2.91,1.01
35.7021667,-117.5628333,2.03,2.28
35.862,-117.692,6.35,1.22
38.7970009,-122.7363358,0.95,0.84
36.0855,-117.8708333,2.72,0.75
35.86,-117.6495,8.02,0.03
33.4798333,-116.8053333,4.04,1.4
36.054,-117.8048333,1.15,0.85
38.8156662,-122.76017,1.63,0.4
38.774334,-122.7184982,2.01,0.16
38.7813339,-122.7235031,1.68,0.66
38.7929993,-122.809166,1.97,0.36
35.9411667,-117.6986667,9.03,0.83
35.9253333,-117.6653333,3.61,0.95
35.9113333,-117.7065,3.28,0.87
38.8330002,-122.8073349,2.44,0.56
35.633,-117.4366667,5.13,0.81
33.3556667,-116.3416667,10.87,1.64
35.9131667,-117.7053333,2.82,0.74
35.0421667,-119.0421667,12.52,1.51
36.0951667,-117.8548333,4.1,1.04
36.0993333,-117.8463333,1.05,0.95
35.774,-117.5645,7.63,0.34
33.8786667,-116.9995,13.34,0.84
38.8128319,-122.8081665,1.46,0.61
33.819,-116.2035,7.02,0.91
38.7579994,-122.7236633,1.42,0.85
35.6266667,-117.4833333,8.73,0.81
33.5315,-116.559,15.1,0.73
35.865,-117.6896667,7.54,1.26
35.8806667,-117.705,2.92,0.49
35.8023333,-117.6186667,3.55,0.77
33.5856667,-116.8096667,4.75,0.98
33.8798333,-116.8781667,14.61,0.38
36.0978333,-117.855,3.57,0.94
36.6394997,-121.2689972,6.94,1.33
38.8419991,-122.8776703,2.31,0.91
36.001667,-120.5613327,2.24,1.82
34.4245,-117.811,6.51,0.67
38.8221667,-122.8113333,3.58,0.28
35.7876667,-117.6175,8.66,0.65
35.689,-117.5503333,6.94,1.22
33.5906667,-116.8103333,4.84,0.87
38.8138351,-122.7346649,2.47,0.64
33.3403333,-116.237,10.27,0.83
35.7008333,-117.5255,8.27,1.08
34.2238333,-117.4665,10.09,2.17
35.6423333,-117.5785,8.64,1.4
33.3261667,-116.4006667,6.88,0.92
35.698,-117.526,8.93,1.49
32.9806667,-116.424,13.1,0.7
34.0371667,-117.2501667,14.43,1.05
35.909,-117.6756667,10.56,0.02
35.8448333,-117.6501667,4.72,1.06
38.7941666,-122.723999,1.08,1.7
35.7826667,-117.5953333,6.83,0.82
35.7115,-117.5616667,5.99,0.29
35.7148333,-117.5473333,3.43,1.63
35.716,-117.5515,3.12,1.43
33.5068333,-116.4166667,12.31,0.57
35.9235,-117.7225,3.49,1.06
36.1893333,-117.9946667,3.64,0.83
35.7966667,-117.5758333,6.19,0.48
35.729,-117.54,10.8,0.87
34.078,-117.2905,15.94,1.64
35.6196667,-117.4461667,6.37,1.56
33.4968333,-116.7861667,6.35,0.81
37.4678333,-121.6845,8.77,0.7
38.7949982,-122.7223358,1.33,1.03
33.5806667,-116.8101667,4.85,1.33
35.902,-117.7425,8.93,0.53
33.501,-116.5136667,13.96,0.53
38.8336678,-122.8099976,1.9,0.82
33.4885,-116.4665,14.39,0.89
38.8146667,-122.8068314,1.45,0.55
35.6393333,-117.4601667,5.05,0.94
33.3431667,-116.2388333,11.78,2.01
33.3321667,-116.2443333,11.87,2.64
35.8311667,-117.6616667,5.09,1.17
35.67,-117.5271667,7.41,0.62
38.8383331,-122.8095016,2.01,0.59
33.4268333,-116.6305,6.71,0.13
36.2091667,-120.7858333,2.94,1.26
35.8331667,-117.6593333,6.42,1.39
38.8218346,-122.8078308,2.66,0.77
33.1336667,-116.3885,6.42,0.68
38.7529984,-122.7208328,1.87,0.68
35.8271667,-117.6635,5.96,1.47
35.6606667,-117.4456667,5.04,1.15
38.836834,-122.8290024,1.32,0.35
35.963,-117.6701667,3.87,0.27
35.9166667,-117.7438333,11.74,0.89
